HPI NO.,EASTING,NORTHING,R,LS IN,LS OUT
HPI-01,688703.7479,1518287.362,0,0,0
HPI-02,688908.9933,1518307.368,1200,30,30
PI - LINK 1,689189.0775,1518316.708,0,0,0
PI - LINK 2,689189.1524,1518314.459,0,0,0
HPI-03,690052.9341,1518343.266,6102.25,70,70
HPI-04,690422.9109,1518344.388,6102.25,70,70
HPI-05,693933.9066,1518461.52,4002.25,275,275
HPI-06,715828.0589,1515847.624,24997.75,60,60
HPI-07,716132.017,1515808.197,24997.75,60,60
HPI-08,718127.0514,1515568.778,4852.25,115,115
HPI-09,727309.619,1517144.574,2342.25,235,235
HPI-10,728812.6641,1507852.847,2002.25,225,225
HPI-11,724998.6708,1487613.706,2122.25,230,230
HPI-12,719440.4073,1479175.872,2902.25,205,205
HPI-13,715025.8296,1474260.637,13002.25,135,135
HPI-14,714604.3673,1473815.111,11997.75,140,140
HPI-15,714208.1905,1473350.794,13002.25,135,135
HPI-16,711933.6154,1470818.259,3042.25,360,360
HPI-17,711644.6875,1462352.328,1702.25,260,260
HPI-18,710172.8098,1459892.639,1702.25,260,260
HPI-19,711032.3027,1457607.822,3002.25,360,360
HPI-20,710341.1821,1440098.433,4252.25,315,315
HPI-21,709341.659,1435938.629,4252.25,315,315
HPI-22,706501.669,1429890.012,1502.25,185,185
HPI-23,706130.7455,1426120.549,1102.25,200,200
HPI-24,708474.1878,1420541.765,4252.25,315,315
HPI-25,708795.0275,1413596.908,4002.25,275,275
HPI-26,709381.5709,1410396.208,3702.25,295,295
HPI-27,712716.1267,1408165.71,4302.25,315,315
POE,715860.2927,1408413.809,0,0,0
